"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2010M04","Slovakia","Total","Total","Total","Asylum applicant","Person","50"
"2010M04","Slovakia","Total","Total","Total","First time applicant","Person","40"
"2010M04","Finland","Total","Total","Total","Asylum applicant","Person","290"
"2010M04","Finland","Total","Total","Total","First time applicant","Person",":"
"2010M04","Sweden","Total","Total","Total","Asylum applicant","Person","2,160"
"2010M04","Sweden","Total","Total","Total","First time applicant","Person","2,150"
"2010M04","United Kingdom","Total","Total","Total","Asylum applicant","Person","2,050"
"2010M04","United Kingdom","Total","Total","Total","First time applicant","Person","1,895"
"2010M04","Iceland","Total","Total","Total","Asylum applicant","Person","0"
"2010M04","Iceland","Total","Total","Total","First time applicant","Person",":"
"2010M04","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2010M04","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2010M04","Norway","Total","Total","Total","Asylum applicant","Person","590"
"2010M04","Norway","Total","Total","Total","First time applicant","Person","530"
"2010M04","Switzerland","Total","Total","Total","Asylum applicant","Person","1,185"
"2010M04","Switzerland","Total","Total","Total","First time applicant","Person","1,055"
"2010M04","Total","Total","Total","Total","Asylum applicant","Person","20,285"
"2010M04","Total","Total","Total","Total","First time applicant","Person","16,100"
"2010M05","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","18,400"
"2010M05","European Union (28 countries)","Total","Total","Total","First time applicant","Person","14,230"
"2010M05","Belgium","Total","Total","Total","Asylum applicant","Person","1,635"
"2010M05","Belgium","Total","Total","Total","First time applicant","Person","1,280"
"2010M05","Bulgaria","Total","Total","Total","Asylum applicant","Person","55"
"2010M05","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2010M05","Czech Republic","Total","Total","Total","Asylum applicant","Person","80"
"2010M05","Czech Republic","Total","Total","Total","First time applicant","Person","35"
"2010M05","Denmark","Total","Total","Total","Asylum applicant","Person","395"
"2010M05","Denmark","Total","Total","Total","First time applicant","Person","395"
"2010M05","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","2,760"
"2010M05","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","2,415"
"2010M05","Estonia","Total","Total","Total","Asylum applicant","Person","5"
"2010M05","Estonia","Total","Total","Total","First time applicant","Person","5"
"2010M05","Ireland","Total","Total","Total","Asylum applicant","Person","180"
"2010M05","Ireland","Total","Total","Total","First time applicant","Person","180"
"2010M05","Greece","Total","Total","Total","Asylum applicant","Person","840"
"2010M05","Greece","Total","Total","Total","First time applicant","Person",":"
"2010M05","Spain","Total","Total","Total","Asylum applicant","Person","180"
"2010M05","Spain","Total","Total","Total","First time applicant","Person","170"
"2010M05","France","Total","Total","Total","Asylum applicant","Person","4,115"
"2010M05","France","Total","Total","Total","First time applicant","Person","3,720"
"2010M05","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2010M05","Croatia","Total","Total","Total","First time applicant","Person",":"
"2010M05","Italy","Total","Total","Total","Asylum applicant","Person","945"
"2010M05","Italy","Total","Total","Total","First time applicant","Person","945"
"2010M05","Cyprus","Total","Total","Total","Asylum applicant","Person","210"
"2010M05","Cyprus","Total","Total","Total","First time applicant","Person","210"
"2010M05","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2010M05","Latvia","Total","Total","Total","First time applicant","Person","5"
"2010M05","Lithuania","Total","Total","Total","Asylum applicant","Person","50"
"2010M05","Lithuania","Total","Total","Total","First time applicant","Person","35"
"2010M05","Luxembourg","Total","Total","Total","Asylum applicant","Person","45"
"2010M05","Luxembourg","Total","Total","Total","First time applicant","Person","45"
"2010M05","Hungary","Total","Total","Total","Asylum applicant","Person","220"
"2010M05","Hungary","Total","Total","Total","First time applicant","Person",":"
"2010M05","Malta","Total","Total","Total","Asylum applicant","Person","15"
"2010M05","Malta","Total","Total","Total","First time applicant","Person","10"
"2010M05","Netherlands","Total","Total","Total","Asylum applicant","Person","890"
"2010M05","Netherlands","Total","Total","Total","First time applicant","Person","750"
"2010M05","Austria","Total","Total","Total","Asylum applicant","Person","915"
"2010M05","Austria","Total","Total","Total","First time applicant","Person",":"
"2010M05","Poland","Total","Total","Total","Asylum applicant","Person","485"
"2010M05","Poland","Total","Total","Total","First time applicant","Person","285"
"2010M05","Portugal","Total","Total","Total","Asylum applicant","Person","15"
"2010M05","Portugal","Total","Total","Total","First time applicant","Person","15"
"2010M05","Romania","Total","Total","Total","Asylum applicant","Person","115"
"2010M05","Romania","Total","Total","Total","First time applicant","Person",":"
"2010M05","Slovenia","Total","Total","Total","Asylum applicant","Person","25"
"2010M05","Slovenia","Total","Total","Total","First time applicant","Person","20"
"2010M05","Slovakia","Total","Total","Total","Asylum applicant","Person","70"
"2010M05","Slovakia","Total","Total","Total","First time applicant","Person","35"
"2010M05","Finland","Total","Total","Total","Asylum applicant","Person","305"
"2010M05","Finland","Total","Total","Total","First time applicant","Person",":"
"2010M05","Sweden","Total","Total","Total","Asylum applicant","Person","1,890"
"2010M05","Sweden","Total","Total","Total","First time applicant","Person","1,885"
"2010M05","United Kingdom","Total","Total","Total","Asylum applicant","Person","1,950"
"2010M05","United Kingdom","Total","Total","Total","First time applicant","Person","1,795"
"2010M05","Iceland","Total","Total","Total","Asylum applicant","Person","0"
"2010M05","Iceland","Total","Total","Total","First time applicant","Person",":"
"2010M05","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2010M05","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2010M05","Norway","Total","Total","Total","Asylum applicant","Person","690"
"2010M05","Norway","Total","Total","Total","First time applicant","Person","625"
"2010M05","Switzerland","Total","Total","Total","Asylum applicant","Person","1,090"
"2010M05","Switzerland","Total","Total","Total","First time applicant","Person","945"
"2010M05","Total","Total","Total","Total","Asylum applicant","Person","20,185"
"2010M05","Total","Total","Total","Total","First time applicant","Person","15,800"
"2010M06","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","19,805"
"2010M06","European Union (28 countries)","Total","Total","Total","First time applicant","Person","15,080"
"2010M06","Belgium","Total","Total","Total","Asylum applicant","Person","1,820"
"2010M06","Belgium","Total","Total","Total","First time applicant","Person","1,335"
"2010M06","Bulgaria","Total","Total","Total","Asylum applicant","Person","85"
"2010M06","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2010M06","Czech Republic","Total","Total","Total","Asylum applicant","Person","65"
"2010M06","Czech Republic","Total","Total","Total","First time applicant","Person","35"
"2010M06","Denmark","Total","Total","Total","Asylum applicant","Person","320"
"2010M06","Denmark","Total","Total","Total","First time applicant","Person","320"
"2010M06","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","3,390"
"2010M06","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","2,895"
"2010M06","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2010M06","Estonia","Total","Total","Total","First time applicant","Person","0"
"2010M06","Ireland","Total","Total","Total","Asylum applicant","Person","155"
"2010M06","Ireland","Total","Total","Total","First time applicant","Person","155"
"2010M06","Greece","Total","Total","Total","Asylum applicant","Person","1,010"
"2010M06","Greece","Total","Total","Total","First time applicant","Person",":"
"2010M06","Spain","Total","Total","Total","Asylum applicant","Person","200"
"2010M06","Spain","Total","Total","Total","First time applicant","Person","190"
"2010M06","France","Total","Total","Total","Asylum applicant","Person","4,230"
"2010M06","France","Total","Total","Total","First time applicant","Person","3,800"
"2010M06","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2010M06","Croatia","Total","Total","Total","First time applicant","Person",":"
"2010M06","Italy","Total","Total","Total","Asylum applicant","Person","975"
"2010M06","Italy","Total","Total","Total","First time applicant","Person","975"
"2010M06","Cyprus","Total","Total","Total","Asylum applicant","Person","235"
"2010M06","Cyprus","Total","Total","Total","First time applicant","Person","230"
"2010M06","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2010M06","Latvia","Total","Total","Total","First time applicant","Person","5"
"2010M06","Lithuania","Total","Total","Total","Asylum applicant","Person","30"
"2010M06","Lithuania","Total","Total","Total","First time applicant","Person","20"
"2010M06","Luxembourg","Total","Total","Total","Asylum applicant","Person","45"
"2010M06","Luxembourg","Total","Total","Total","First time applicant","Person","40"
"2010M06","Hungary","Total","Total","Total","Asylum applicant","Person","185"
"2010M06","Hungary","Total","Total","Total","First time applicant","Person",":"
"2010M06","Malta","Total","Total","Total","Asylum applicant","Person","0"
"2010M06","Malta","Total","Total","Total","First time applicant","Person","0"
"2010M06","Netherlands","Total","Total","Total","Asylum applicant","Person","1,085"
"2010M06","Netherlands","Total","Total","Total","First time applicant","Person","890"
"2010M06","Austria","Total","Total","Total","Asylum applicant","Person","915"
"2010M06","Austria","Total","Total","Total","First time applicant","Person",":"
"2010M06","Poland","Total","Total","Total","Asylum applicant","Person","530"
"2010M06","Poland","Total","Total","Total","First time applicant","Person","290"
"2010M06","Portugal","Total","Total","Total","Asylum applicant","Person","15"
"2010M06","Portugal","Total","Total","Total","First time applicant","Person","15"
"2010M06","Romania","Total","Total","Total","Asylum applicant","Person","60"
"2010M06","Romania","Total","Total","Total","First time applicant","Person",":"
"2010M06","Slovenia","Total","Total","Total","Asylum applicant","Person","20"
"2010M06","Slovenia","Total","Total","Total","First time applicant","Person","15"
"2010M06","Slovakia","Total","Total","Total","Asylum applicant","Person","55"
"2010M06","Slovakia","Total","Total","Total","First time applicant","Person","40"
"2010M06","Finland","Total","Total","Total","Asylum applicant","Person","355"
"2010M06","Finland","Total","Total","Total","First time applicant","Person",":"
"2010M06","Sweden","Total","Total","Total","Asylum applicant","Person","1,915"
"2010M06","Sweden","Total","Total","Total","First time applicant","Person","1,915"
"2010M06","United Kingdom","Total","Total","Total","Asylum applicant","Person","2,105"
"2010M06","United Kingdom","Total","Total","Total","First time applicant","Person","1,930"
"2010M06","Iceland","Total","Total","Total","Asylum applicant","Person","5"
"2010M06","Iceland","Total","Total","Total","First time applicant","Person",":"
"2010M06","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2010M06","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2010M06","Norway","Total","Total","Total","Asylum applicant","Person","735"
"2010M06","Norway","Total","Total","Total","First time applicant","Person","675"
"2010M06","Switzerland","Total","Total","Total","Asylum applicant","Person","1,270"
"2010M06","Switzerland","Total","Total","Total","First time applicant","Person","1,105"
"2010M06","Total","Total","Total","Total","Asylum applicant","Person","21,820"
"2010M06","Total","Total","Total","Total","First time applicant","Person","16,860"
"2010M07","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","19,725"
"2010M07","European Union (28 countries)","Total","Total","Total","First time applicant","Person","15,505"
"2010M07","Belgium","Total","Total","Total","Asylum applicant","Person","1,985"
"2010M07","Belgium","Total","Total","Total","First time applicant","Person","1,570"
"2010M07","Bulgaria","Total","Total","Total","Asylum applicant","Person","95"
"2010M07","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2010M07","Czech Republic","Total","Total","Total","Asylum applicant","Person","45"
"2010M07","Czech Republic","Total","Total","Total","First time applicant","Person","20"
"2010M07","Denmark","Total","Total","Total","Asylum applicant","Person","370"
"2010M07","Denmark","Total","Total","Total","First time applicant","Person","370"
"2010M07","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","3,840"
"2010M07","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","3,380"
"2010M07","Estonia","Total","Total","Total","Asylum applicant","Person","5"
"2010M07","Estonia","Total","Total","Total","First time applicant","Person","5"
"2010M07","Ireland","Total","Total","Total","Asylum applicant","Person","160"
"2010M07","Ireland","Total","Total","Total","First time applicant","Person","160"
"2010M07","Greece","Total","Total","Total","Asylum applicant","Person","990"
"2010M07","Greece","Total","Total","Total","First time applicant","Person",":"
"2010M07","Spain","Total","Total","Total","Asylum applicant","Person","250"
"2010M07","Spain","Total","Total","Total","First time applicant","Person","245"
"2010M07","France","Total","Total","Total","Asylum applicant","Person","4,205"
"2010M07","France","Total","Total","Total","First time applicant","Person","3,755"
"2010M07","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2010M07","Croatia","Total","Total","Total","First time applicant","Person",":"
"2010M07","Italy","Total","Total","Total","Asylum applicant","Person","815"
"2010M07","Italy","Total","Total","Total","First time applicant","Person","815"
"2010M07","Cyprus","Total","Total","Total","Asylum applicant","Person","215"
"2010M07","Cyprus","Total","Total","Total","First time applicant","Person","205"
"2010M07","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2010M07","Latvia","Total","Total","Total","First time applicant","Person","5"
"2010M07","Lithuania","Total","Total","Total","Asylum applicant","Person","30"
"2010M07","Lithuania","Total","Total","Total","First time applicant","Person","20"
"2010M07","Luxembourg","Total","Total","Total","Asylum applicant","Person","45"
"2010M07","Luxembourg","Total","Total","Total","First time applicant","Person","40"
"2010M07","Hungary","Total","Total","Total","Asylum applicant","Person","120"
"2010M07","Hungary","Total","Total","Total","First time applicant","Person",":"
"2010M07","Malta","Total","Total","Total","Asylum applicant","Person","40"
"2010M07","Malta","Total","Total","Total","First time applicant","Person","40"
"2010M07","Netherlands","Total","Total","Total","Asylum applicant","Person","870"
"2010M07","Netherlands","Total","Total","Total","First time applicant","Person","830"
"2010M07","Austria","Total","Total","Total","Asylum applicant","Person","910"
"2010M07","Austria","Total","Total","Total","First time applicant","Person",":"
"2010M07","Poland","Total","Total","Total","Asylum applicant","Person","450"
"2010M07","Poland","Total","Total","Total","First time applicant","Person","280"
"2010M07","Portugal","Total","Total","Total","Asylum applicant","Person","15"
"2010M07","Portugal","Total","Total","Total","First time applicant","Person","15"
"2010M07","Romania","Total","Total","Total","Asylum applicant","Person","45"
"2010M07","Romania","Total","Total","Total","First time applicant","Person",":"
"2010M07","Slovenia","Total","Total","Total","Asylum applicant","Person","10"
"2010M07","Slovenia","Total","Total","Total","First time applicant","Person","10"
"2010M07","Slovakia","Total","Total","Total","Asylum applicant","Person","55"
"2010M07","Slovakia","Total","Total","Total","First time applicant","Person","20"
"2010M07","Finland","Total","Total","Total","Asylum applicant","Person","275"
"2010M07","Finland","Total","Total","Total","First time applicant","Person",":"
"2010M07","Sweden","Total","Total","Total","Asylum applicant","Person","1,915"
"2010M07","Sweden","Total","Total","Total","First time applicant","Person","1,900"
"2010M07","United Kingdom","Total","Total","Total","Asylum applicant","Person","1,970"
"2010M07","United Kingdom","Total","Total","Total","First time applicant","Person","1,815"
"2010M07","Iceland","Total","Total","Total","Asylum applicant","Person","0"
"2010M07","Iceland","Total","Total","Total","First time applicant","Person",":"
"2010M07","Liechtenstein","Total","Total","Total","Asylum applicant","Person","0"
"2010M07","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2010M07","Norway","Total","Total","Total","Asylum applicant","Person","895"
"2010M07","Norway","Total","Total","Total","First time applicant","Person","840"
"2010M07","Switzerland","Total","Total","Total","Asylum applicant","Person","1,150"
"2010M07","Switzerland","Total","Total","Total","First time applicant","Person","970"
"2010M07","Total","Total","Total","Total","Asylum applicant","Person","21,775"
"2010M07","Total","Total","Total","Total","First time applicant","Person","17,315"
"2010M08","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","22,210"
"2010M08","European Union (28 countries)","Total","Total","Total","First time applicant","Person","17,605"
"2010M08","Belgium","Total","Total","Total","Asylum applicant","Person","2,405"
"2010M08","Belgium","Total","Total","Total","First time applicant","Person","2,000"
"2010M08","Bulgaria","Total","Total","Total","Asylum applicant","Person","95"
"2010M08","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2010M08","Czech Republic","Total","Total","Total","Asylum applicant","Person","70"
"2010M08","Czech Republic","Total","Total","Total","First time applicant","Person","35"
"2010M08","Denmark","Total","Total","Total","Asylum applicant","Person","540"
"2010M08","Denmark","Total","Total","Total","First time applicant","Person","540"
"2010M08","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","4,675"
"2010M08","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","4,100"
"2010M08","Estonia","Total","Total","Total","Asylum applicant","Person","5"
"2010M08","Estonia","Total","Total","Total","First time applicant","Person","5"
"2010M08","Ireland","Total","Total","Total","Asylum applicant","Person","175"
"2010M08","Ireland","Total","Total","Total","First time applicant","Person","170"
"2010M08","Greece","Total","Total","Total","Asylum applicant","Person","885"
"2010M08","Greece","Total","Total","Total","First time applicant","Person",":"
"2010M08","Spain","Total","Total","Total","Asylum applicant","Person","260"
"2010M08","Spain","Total","Total","Total","First time applicant","Person","245"
"2010M08","France","Total","Total","Total","Asylum applicant","Person","3,925"
"2010M08","France","Total","Total","Total","First time applicant","Person","3,620"
"2010M08","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2010M08","Croatia","Total","Total","Total","First time applicant","Person",":"
"2010M08","Italy","Total","Total","Total","Asylum applicant","Person","515"
"2010M08","Italy","Total","Total","Total","First time applicant","Person","515"
"2010M08","Cyprus","Total","Total","Total","Asylum applicant","Person","170"
"2010M08","Cyprus","Total","Total","Total","First time applicant","Person","165"
"2010M08","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2010M08","Latvia","Total","Total","Total","First time applicant","Person","5"
"2010M08","Lithuania","Total","Total","Total","Asylum applicant","Person","40"
"2010M08","Lithuania","Total","Total","Total","First time applicant","Person","35"
"2010M08","Luxembourg","Total","Total","Total","Asylum applicant","Person","50"
"2010M08","Luxembourg","Total","Total","Total","First time applicant","Person","50"
"2010M08","Hungary","Total","Total","Total","Asylum applicant","Person","110"
"2010M08","Hungary","Total","Total","Total","First time applicant","Person",":"
"2010M08","Malta","Total","Total","Total","Asylum applicant","Person","15"
"2010M08","Malta","Total","Total","Total","First time applicant","Person","10"
"2010M08","Netherlands","Total","Total","Total","Asylum applicant","Person","1,185"
"2010M08","Netherlands","Total","Total","Total","First time applicant","Person","1,060"
"2010M08","Austria","Total","Total","Total","Asylum applicant","Person","1,245"
"2010M08","Austria","Total","Total","Total","First time applicant","Person",":"
"2010M08","Poland","Total","Total","Total","Asylum applicant","Person","700"
"2010M08","Poland","Total","Total","Total","First time applicant","Person","460"
"2010M08","Portugal","Total","Total","Total","Asylum applicant","Person","20"
"2010M08","Portugal","Total","Total","Total","First time applicant","Person","20"
"2010M08","Romania","Total","Total","Total","Asylum applicant","Person","100"
"2010M08","Romania","Total","Total","Total","First time applicant","Person",":"
"2010M08","Slovenia","Total","Total","Total","Asylum applicant","Person","15"
"2010M08","Slovenia","Total","Total","Total","First time applicant","Person","0"
"2010M08","Slovakia","Total","Total","Total","Asylum applicant","Person","55"
"2010M08","Slovakia","Total","Total","Total","First time applicant","Person","30"
"2010M08","Finland","Total","Total","Total","Asylum applicant","Person","285"
"2010M08","Finland","Total","Total","Total","First time applicant","Person",":"
"2010M08","Sweden","Total","Total","Total","Asylum applicant","Person","2,755"
"2010M08","Sweden","Total","Total","Total","First time applicant","Person","2,745"
"2010M08","United Kingdom","Total","Total","Total","Asylum applicant","Person","1,915"
"2010M08","United Kingdom","Total","Total","Total","First time applicant","Person","1,800"
"2010M08","Iceland","Total","Total","Total","Asylum applicant","Person","15"
"2010M08","Iceland","Total","Total","Total","First time applicant","Person",":"
"2010M08","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2010M08","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2010M08","Norway","Total","Total","Total","Asylum applicant","Person","1,035"
"2010M08","Norway","Total","Total","Total","First time applicant","Person","945"
"2010M08","Switzerland","Total","Total","Total","Asylum applicant","Person","1,385"
"2010M08","Switzerland","Total","Total","Total","First time applicant","Person","1,180"
"2010M08","Total","Total","Total","Total","Asylum applicant","Person","24,645"
"2010M08","Total","Total","Total","Total","First time applicant","Person","19,730"
"2010M09","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","25,245"
"2010M09","European Union (28 countries)","Total","Total","Total","First time applicant","Person","20,590"
"2010M09","Belgium","Total","Total","Total","Asylum applicant","Person","2,340"
"2010M09","Belgium","Total","Total","Total","First time applicant","Person","2,270"
"2010M09","Bulgaria","Total","Total","Total","Asylum applicant","Person","75"
"2010M09","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2010M09","Czech Republic","Total","Total","Total","Asylum applicant","Person","50"
"2010M09","Czech Republic","Total","Total","Total","First time applicant","Person","25"
"2010M09","Denmark","Total","Total","Total","Asylum applicant","Person","460"
"2010M09","Denmark","Total","Total","Total","First time applicant","Person","460"
"2010M09","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","5,605"
"2010M09","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","4,770"
"2010M09","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2010M09","Estonia","Total","Total","Total","First time applicant","Person","0"
"2010M09","Ireland","Total","Total","Total","Asylum applicant","Person","155"
"2010M09","Ireland","Total","Total","Total","First time applicant","Person","150"
"2010M09","Greece","Total","Total","Total","Asylum applicant","Person","1,310"
"2010M09","Greece","Total","Total","Total","First time applicant","Person",":"
"2010M09","Spain","Total","Total","Total","Asylum applicant","Person","285"
"2010M09","Spain","Total","Total","Total","First time applicant","Person","265"
"2010M09","France","Total","Total","Total","Asylum applicant","Person","4,180"
"2010M09","France","Total","Total","Total","First time applicant","Person","3,830"
"2010M09","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2010M09","Croatia","Total","Total","Total","First time applicant","Person",":"
"2010M09","Italy","Total","Total","Total","Asylum applicant","Person","815"
"2010M09","Italy","Total","Total","Total","First time applicant","Person","815"
"2010M09","Cyprus","Total","Total","Total","Asylum applicant","Person","190"
"2010M09","Cyprus","Total","Total","Total","First time applicant","Person","190"
"2010M09","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2010M09","Latvia","Total","Total","Total","First time applicant","Person","5"
"2010M09","Lithuania","Total","Total","Total","Asylum applicant","Person","35"
"2010M09","Lithuania","Total","Total","Total","First time applicant","Person","30"
"2010M09","Luxembourg","Total","Total","Total","Asylum applicant","Person","90"
"2010M09","Luxembourg","Total","Total","Total","First time applicant","Person","90"
"2010M09","Hungary","Total","Total","Total","Asylum applicant","Person","115"
"2010M09","Hungary","Total","Total","Total","First time applicant","Person",":"
"2010M09","Malta","Total","Total","Total","Asylum applicant","Person","10"
"2010M09","Malta","Total","Total","Total","First time applicant","Person","10"
"2010M09","Netherlands","Total","Total","Total","Asylum applicant","Person","1,450"
"2010M09","Netherlands","Total","Total","Total","First time applicant","Person","1,240"
"2010M09","Austria","Total","Total","Total","Asylum applicant","Person","960"
"2010M09","Austria","Total","Total","Total","First time applicant","Person",":"
"2010M09","Poland","Total","Total","Total","Asylum applicant","Person","675"
"2010M09","Poland","Total","Total","Total","First time applicant","Person","505"
"2010M09","Portugal","Total","Total","Total","Asylum applicant","Person","15"
"2010M09","Portugal","Total","Total","Total","First time applicant","Person","15"
"2010M09","Romania","Total","Total","Total","Asylum applicant","Person","70"
"2010M09","Romania","Total","Total","Total","First time applicant","Person",":"
"2010M09","Slovenia","Total","Total","Total","Asylum applicant","Person","20"
"2010M09","Slovenia","Total","Total","Total","First time applicant","Person","20"
"2010M09","Slovakia","Total","Total","Total","Asylum applicant","Person","45"
"2010M09","Slovakia","Total","Total","Total","First time applicant","Person","35"
"2010M09","Finland","Total","Total","Total","Asylum applicant","Person","295"
"2010M09","Finland","Total","Total","Total","First time applicant","Person",":"
"2010M09","Sweden","Total","Total","Total","Asylum applicant","Person","3,890"
"2010M09","Sweden","Total","Total","Total","First time applicant","Person","3,885"
"2010M09","United Kingdom","Total","Total","Total","Asylum applicant","Person","2,110"
"2010M09","United Kingdom","Total","Total","Total","First time applicant","Person","1,990"
"2010M09","Iceland","Total","Total","Total","Asylum applicant","Person","10"
"2010M09","Iceland","Total","Total","Total","First time applicant","Person",":"
"2010M09","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2010M09","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2010M09","Norway","Total","Total","Total","Asylum applicant","Person","980"
"2010M09","Norway","Total","Total","Total","First time applicant","Person","885"
"2010M09","Switzerland","Total","Total","Total","Asylum applicant","Person","1,390"
"2010M09","Switzerland","Total","Total","Total","First time applicant","Person","1,210"
"2010M09","Total","Total","Total","Total","Asylum applicant","Person","27,630"
"2010M09","Total","Total","Total","Total","First time applicant","Person","22,685"
"2010M10","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","27,475"
"2010M10","European Union (28 countries)","Total","Total","Total","First time applicant","Person","22,305"
"2010M10","Belgium","Total","Total","Total","Asylum applicant","Person","2,880"
"2010M10","Belgium","Total","Total","Total","First time applicant","Person","2,465"
"2010M10","Bulgaria","Total","Total","Total","Asylum applicant","Person","65"
"2010M10","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2010M10","Czech Republic","Total","Total","Total","Asylum applicant","Person","55"
"2010M10","Czech Republic","Total","Total","Total","First time applicant","Person","20"
"2010M10","Denmark","Total","Total","Total","Asylum applicant","Person","545"
"2010M10","Denmark","Total","Total","Total","First time applicant","Person","545"
"2010M10","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","6,090"
"2010M10","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","4,975"
"2010M10","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2010M10","Estonia","Total","Total","Total","First time applicant","Person","0"
"2010M10","Ireland","Total","Total","Total","Asylum applicant","Person","145"
"2010M10","Ireland","Total","Total","Total","First time applicant","Person","140"
"2010M10","Greece","Total","Total","Total","Asylum applicant","Person","1,080"
"2010M10","Greece","Total","Total","Total","First time applicant","Person",":"
"2010M10","Spain","Total","Total","Total","Asylum applicant","Person","240"
"2010M10","Spain","Total","Total","Total","First time applicant","Person","220"
"2010M10","France","Total","Total","Total","Asylum applicant","Person","5,070"
"2010M10","France","Total","Total","Total","First time applicant","Person","4,655"
"2010M10","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2010M10","Croatia","Total","Total","Total","First time applicant","Person",":"
"2010M10","Italy","Total","Total","Total","Asylum applicant","Person","870"
"2010M10","Italy","Total","Total","Total","First time applicant","Person","870"
"2010M10","Cyprus","Total","Total","Total","Asylum applicant","Person","215"
"2010M10","Cyprus","Total","Total","Total","First time applicant","Person","210"
"2010M10","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2010M10","Latvia","Total","Total","Total","First time applicant","Person","5"
"2010M10","Lithuania","Total","Total","Total","Asylum applicant","Person","65"
"2010M10","Lithuania","Total","Total","Total","First time applicant","Person","55"
"2010M10","Luxembourg","Total","Total","Total","Asylum applicant","Person","95"
"2010M10","Luxembourg","Total","Total","Total","First time applicant","Person","90"
"2010M10","Hungary","Total","Total","Total","Asylum applicant","Person","115"
"2010M10","Hungary","Total","Total","Total","First time applicant","Person",":"
"2010M10","Malta","Total","Total","Total","Asylum applicant","Person","10"
"2010M10","Malta","Total","Total","Total","First time applicant","Person","10"
"2010M10","Netherlands","Total","Total","Total","Asylum applicant","Person","1,535"
"2010M10","Netherlands","Total","Total","Total","First time applicant","Person","1,310"
"2010M10","Austria","Total","Total","Total","Asylum applicant","Person","975"
"2010M10","Austria","Total","Total","Total","First time applicant","Person",":"
"2010M10","Poland","Total","Total","Total","Asylum applicant","Person","630"
"2010M10","Poland","Total","Total","Total","First time applicant","Person","415"
"2010M10","Portugal","Total","Total","Total","Asylum applicant","Person","10"
"2010M10","Portugal","Total","Total","Total","First time applicant","Person","10"
"2010M10","Romania","Total","Total","Total","Asylum applicant","Person","80"
"2010M10","Romania","Total","Total","Total","First time applicant","Person",":"
"2010M10","Slovenia","Total","Total","Total","Asylum applicant","Person","25"
"2010M10","Slovenia","Total","Total","Total","First time applicant","Person","25"
